strain	husb	husb_group	animal_type	sample_type	genus	CRE	ESBL	MAR	MAR_profile	AUG	AMP	AZI	FAZ	FEP	FOT	FOX	POD	TAZ	AXO	CEP	CHL	CIP	GEN	IMP	MEM	NAL	TZP	STR	SUL	FTC	CCV	TET	SXT
Res13-Sevr_AlimEC2-17	CV	CV-2	weaner	feed	Pseudomonas luteola	No	No	8	AugFazCepChlNalStrSulSxt	R	NI	S	R	S	I	NI	NI	I	I	R	R	S	S	S	S	R	S	R	R	NI	NI	NI	R
Res13-Abat_PEA15_P4-01	AF3	AF3-3	carcass	swab	Enterobacter cloacae			12	AugAmpFazFotFoxPodTazAxoCepTzpSulSxt	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	R	S	R	NI	NI	S	R
Res13-Abat-EA3-S5-2	AF3	AF3-3	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	I	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEA16-P5-1	AF3	AF3-3	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	R	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEA20-P5-2	AF3	AF3-3	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	R	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEA21-P1-1	AF3	AF3-3	carcass	swab	Enterobacter cloacae	No	No	9	AugAmpFazFotFoxPodTazAxoCep	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	S	S	NI	NI	S	S
Res13-Abat-PEA21-P1-2	AF3	AF3-3	carcass	swab	Enterobacter cloacae	No	No	9	AugAmpFazFotFoxPodTazAxoCep	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	S	S	NI	NI	S	S
Res13-Abat-PEA21-P4-1	AF3	AF3-3	carcass	swab	Acinetobacter	No	No	4	AugFazCepChl	R	R	S	R	S	S	R	S	S	S	R	R	S	S	S	S	S	S	S	S	NI	NI	S	S
Res13-Abat-PEA24-P1-1	AF3	AF3-4	carcass	swab	Enterobacter cloacae	No	No	10	AugAmpFazFotFoxPodTazAxoCepStr	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	R	S	NI	NI	S	S
Res13-Abat-PEA24-P1-2	AF3	AF3-4	carcass	swab	Enterobacter cloacae	No	No	10	AugAmpFazFotFoxPodTazAxoCepStr	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	R	S	NI	NI	S	S
Res13-Abat-PEA24-P4-1	AF3	AF3-4	carcass	swab	Enterobacter cloacae	No	No	9	AugAmpFazFotFoxPodTazAxoCep	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	S	S	NI	NI	S	S
Res13-Abat-PEA24-P4-2	AF3	AF3-4	carcass	swab	Enterobacter cloacae	No	No	9	AugAmpFazFotFoxPodTazAxoCep	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	I	S	S	NI	NI	S	S
Res13-Abat-PEA24-P5-01-A	AF3	AF3-4	carcass	swab	Enterobacter cloacae			10	AugAmpFazFotFoxPodTazAxoCepTzp	R	R	S	R	S	R	R	R	R	R	R	S	S	S	S	S	S	R	S	S	NI	NI	S	S
Res13-Abat-PEA24-P5-01-B	AF3	AF3-4	carcass	swab	Burkholderia cepacia			8	AugFazTazCepChlGenImpStr	R	NI	S	R	NI	NI	NI	NI	R	NI	R	R	NI	R	R	S	S	NI	R	S	NI	NI	NI	S
