strain,steve_strain_names,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Lact-PEB14-36,LPEB1436,AF1,AF1-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-EB15-9,NA,AF1,AF1-3,sow,feces,Escherichia coli,No,Yes,11,AmpFazFotFoxPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,R,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,NI,R,R
Res13-Lact-LEB3-9,NA,AF1,AF1-3,sow,manure,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-LEB3-2,NA,AF1,AF1-3,sow,manure,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,S,R
Res13-Lact-LEB3-27,LLEB327,AF1,AF1-3,sow,manure,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,I,R,R,NI,NI,S,R
Res13-Lact-LEB3-12,LLEB312,AF1,AF1-3,sow,manure,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,S,R
Res13-Lact-LEB3-20,LLEB320,AF1,AF1-3,sow,manure,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,S,R
Res13-Lact-LEB3-37,LLEB337,AF1,AF1-3,sow,manure,Escherichia fergusonii,No,No,6,AmpFazFotPodAxoCep,S,R,S,R,S,R,S,R,S,R,R,S,S,S,S,S,S,S,S,S,NI,NI,S,S
Res13-Lact-PEB17-17,LPEB1717,AF1,AF1-3,suckler,feces,Escherichia fergusonii,No,Yes,7,AmpFazFotPodTazAxoCep,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,S
Res13-Lact-PEB17-18,LPEB1718,AF1,AF1-3,suckler,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,S,R
Res13-Lact-PEB17-37,NA,AF1,AF1-3,suckler,feces,Escherichia fergusonii,No,No,6,AmpFazFotPodAxoCep,S,R,S,R,SD,R,S,R,S,R,R,S,S,S,S,S,S,S,S,S,NI,NI,S,S
Res13-Lact-PEB17-36,NA,AF1,AF1-3,suckler,feces,Escherichia coli,No,No,4,AmpStrSulSxt,S,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,R,NI,NI,S,R
Res13-Lact-PEB18-16,LPEB1816,AF1,AF1-3,suckler,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulSxt,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,S,R
Res13-Lact-PEB20-37,NA,AF1,AF1-3,suckler,feces,Escherichia fergusonii,No,Yes,6,AmpFazFotPodAxoCep,S,R,S,R,S,R,S,R,S,R,R,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,S
Res13-Lact-PEB21-38,NA,AF1,AF1-3,suckler,feces,Escherichia fergusonii,No,Yes,6,AmpFazFotPodAxoCep,S,R,S,R,SD,R,S,R,S,R,R,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,S
Res13-Sevr-PEB21-01,SPEB2101,AF1,AF1-3,weaner,feces,Escherichia coli,No,Yes,7,AmpFazFotPodTazAxoCep,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,S,ESBL,ESBL,S,S
Res13-Lact-ER01-35,LER0135,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-ER02-33,NA,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-ER02-39,LER0239,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-ER07-18,LER0718,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepNalSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,R,S,S,R,ESBL,NI,S,R
Res13-Lact-ER07-19,NA,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,NI,R,R
Res13-Lact-ER07-27,LER0727,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,NI,R,R
Res13-Lact-ER07-29,LER0729,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-ER07-9,NA,AF2,AF2-1,sow,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,R,S
Res13-Lact-ER07-10,LER0710,AF2,AF2-1,sow,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepStrSulTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,R,NI,NI,R,S
Res13-Lact-ER07-26,LER0726,AF2,AF2-1,sow,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-LER1-03,LLER103,AF2,AF2-1,sow,manure,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,I,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-LER1-21,LLER121,AF2,AF2-1,sow,manure,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER01-35,LPER0135,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER01-36,LPER0136,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER01-38,LPER0138,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER01-40,LPER0140,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER02-33,LPER0233,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,I,R,R,R,R,I,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER02-35,LPER0235,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER02-34,LPER0234,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER02-36,LPER0236,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER02-44,LPER0244,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFotPodTazAxoCepCipGenStrSulTetSxt,S,R,S,S,S,R,S,R,R,R,R,S,R,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-PER04-33,LPER0433,AF2,AF2-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
