strain,steve_strain_names,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Lact-EA04-24,LEA0424,AF3,AF3-1,sow,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-EA06-22,LEA0622,AF3,AF3-1,sow,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-EA06-30,LEA0630,AF3,AF3-1,sow,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepStrSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,NI,S,R
Res13-Lact-EA06-23,LEA0623,AF3,AF3-1,sow,feces,Escherichia coli,No,Yes,11,AmpFazFotPodTazAxoCepStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-LEA1-18,NA,AF3,AF3-1,sow,manure,Shewanella putrefaciens group,No,Yes,11,AmpFazFepFotPodTazAxoCepStrSulSxt,S,R,S,R,R,R,S,R,R,R,R,I,S,S,I,S,S,I,R,R,ESBL,ESBL,R,R
Res13-Lact-PEA06-10,LPEA0610,AF3,AF3-1,suckler,feces,Escherichia coli,No,Yes,12,AmpFazFotPodTazAxoCepGenStrSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,R,S,S,S,S,R,R,ESBL,ESBL,R,R
Res13-Lact-LEA2-9,NA,AF3,AF3-2,sow,manure,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA08-37,LPEA0837,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA10-41,LPEA1041,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA12-26,LPEA1226,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA13-9,NA,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA13-17,LPEA1317,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA13-25,LPEA1325,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA13-10,LPEA1310,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA13-26,LPEA1326,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFotPodTazAxoCepSulTetSxt,S,R,S,S,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA13-11,LPEA1311,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA14-20,LPEA1420,AF3,AF3-2,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA15-10,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepTetSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-EA15-25,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA16-12,LEA1612,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA17-20,LEA1720,AF3,AF3-3,sow,feces,Escherichia coli,No,No,10,AugAmpFazFotFoxPodTazAxoCepTet,R,R,S,R,S,R,R,R,R,R,R,S,S,S,S,S,S,S,R,S,NI,NI,R,S
Res13-Lact-EA17-04,LEA1704,AF3,AF3-3,sow,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodTazAxoCepChlTetSxt,R,R,S,R,S,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Lact-EA18-13,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,No,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,NI,NI,S,R
